CBSA,Year,AQI
10100,2021,28.036516853932586
10140,2021,20.90684931506849
10260,2021,11.0
10300,2021,41.43788819875776
10420,2021,42.943820224719104
10500,2021,41.90056818181818
10540,2021,30.76164383561644
10580,2021,39.23287671232877
10740,2021,65.77260273972603
10780,2021,29.885245901639344
10900,2021,46.35616438356164
11020,2021,39.44345238095238
11100,2021,45.45054945054945
11140,2021,34.7469387755102
11260,2021,30.58082191780822
11460,2021,42.73150684931507
11540,2021,40.85123966942149
11620,2021,46.1849710982659
11660,2021,33.553254437869825
11700,2021,39.19178082191781
11780,2021,40.64609053497942
11900,2021,24.849557522123895
11940,2021,30.81388888888889
12020,2021,42.31780821917808
12060,2021,51.21369863013699
12100,2021,36.99723756906077
12260,2021,46.84109589041096
12300,2021,33.10655737704918
12420,2021,45.863013698630134
12540,2021,89.35068493150685
12580,2021,50.1945205479452
12620,2021,30.185595567867036
12660,2021,39.92054794520548
12780,2021,46.12463768115942
12940,2021,48.04931506849315
13020,2021,25.011019283746556
13100,2021,44.17934782608695
13140,2021,42.3041095890411
13180,2021,44.59178082191781
13380,2021,25.3302752293578
13420,2021,28.680351906158357
13460,2021,29.695890410958903
13620,2021,42.114525139664806
13740,2021,37.56764705882353
13820,2021,54.28219178082192
13860,2021,70.46027397260274
13900,2021,47.0986301369863
13980,2021,38.097765363128495
14010,2021,42.48219178082192
14020,2021,41.64931506849315
14460,2021,44.0986301369863
14500,2021,58.701369863013696
14540,2021,42.676712328767124
14580,2021,38.69041095890411
14660,2021,49.50410958904109
14700,2021,19.872340425531913
14740,2021,21.440111420612812
14860,2021,46.239669421487605
15100,2021,41.80821917808219
15180,2021,45.87397260273973
15260,2021,34.80124223602485
15380,2021,42.989041095890414
15540,2021,38.391780821917806
15580,2021,35.63835616438356
15620,2021,41.696969696969695
15700,2021,41.00547945205479
15940,2021,47.18904109589041
15980,2021,37.49589041095891
16100,2021,56.03013698630137
16180,2021,52.71780821917808
16220,2021,46.28767123287671
16260,2021,42.18082191780822
16300,2021,45.83835616438356
16500,2021,19.48546511627907
16540,2021,36.68055555555556
16580,2021,41.11506849315069
16620,2021,40.364383561643834
16700,2021,41.586301369863016
16740,2021,48.12876712328767
16820,2021,37.852777777777774
16860,2021,45.54985754985755
16940,2021,48.44230769230769
16980,2021,61.8054794520548
17020,2021,58.06849315068493
17140,2021,54.0986301369863
17200,2021,34.78356164383562
17220,2021,30.017391304347825
17300,2021,45.55068493150685
17340,2021,32.907303370786515
17380,2021,39.275
17460,2021,53.89041095890411
17540,2021,48.33698630136986
17660,2021,29.831932773109244
17780,2021,32.514044943820224
17820,2021,54.76164383561644
17860,2021,36.6204081632653
17900,2021,43.156164383561645
17980,2021,41.95342465753425
18020,2021,39.90934065934066
18140,2021,45.45205479452055
18180,2021,35.91121495327103
18260,2021,30.01685393258427
18500,2021,37.56712328767123
18580,2021,44.03021978021978
18620,2021,40.18356164383562
18700,2021,19.301369863013697
18860,2021,25.461038961038962
18880,2021,32.9041095890411
19000,2021,30.6
19100,2021,56.63835616438356
19140,2021,37.8443579766537
19260,2021,3.6865671641791047
19300,2021,35.15
19340,2021,49.66575342465753
19380,2021,47.87671232876713
19460,2021,40.40821917808219
19500,2021,44.57340720221607
19660,2021,40.602739726027394
19700,2021,22.43646408839779
19740,2021,72.21369863013699
19780,2021,41.413698630136984
19820,2021,56.605479452054794
19860,2021,40.217032967032964
19980,2021,18.639664804469273
20060,2021,28.305084745762713
20100,2021,42.07462686567164
20180,2021,33.88447653429603
20260,2021,41.41095890410959
20420,2021,50.27472527472528
20500,2021,40.06301369863014
20540,2021,32.78285714285714
20580,2021,32.19263456090651
20700,2021,37.287553648068666
20740,2021,42.011049723756905
20820,2021,37.70042194092827
20940,2021,65.8986301369863
20980,2021,37.05172413793103
21060,2021,40.13186813186813
21140,2021,41.28767123287671
21220,2021,21.753424657534246
21260,2021,25.194520547945206
21340,2021,58.99178082191781
21380,2021,20.897959183673468
21500,2021,36.06382978723404
21660,2021,46.14520547945205
21700,2021,28.063013698630137
21740,2021,11.12912087912088
21780,2021,45.71232876712329
21820,2021,47.59178082191781
21900,2021,32.27472527472528
21980,2021,46.66022099447514
22020,2021,45.03305785123967
22140,2021,51.45753424657534
22180,2021,40.25205479452055
22220,2021,44.25753424657534
22280,2021,45.7037037037037
22380,2021,48.02191780821918
22420,2021,39.821917808219176
22500,2021,36.72857142857143
22540,2021,41.19711538461539
22660,2021,61.93150684931507
22800,2021,34.71287128712871
22840,2021,36.99168975069252
22900,2021,37.73150684931507
23060,2021,44.16986301369863
23420,2021,76.81095890410958
23460,2021,36.24475524475525
23540,2021,34.9478021978022
23580,2021,36.36164383561644
23820,2021,35.484931506849314
23900,2021,44.87362637362637
23940,2021,50.05205479452055
24060,2021,51.37534246575343
24260,2021,29.69747899159664
24300,2021,46.45479452054794
24340,2021,47.583561643835615
24420,2021,37.35890410958904
24500,2021,28.413698630136988
24540,2021,58.72054794520548
24580,2021,42.21917808219178
24660,2021,40.86027397260274
24780,2021,34.52777777777778
24860,2021,45.81643835616438
25020,2021,28.74074074074074
25060,2021,42.458333333333336
25180,2021,42.637119113573405
25200,2021,26.6
25220,2021,31.71818181818182
25260,2021,70.2027397260274
25420,2021,45.68493150684932
25460,2021,36.75342465753425
25500,2021,34.730027548209364
25540,2021,44.47123287671233
25620,2021,39.48209366391185
25740,2021,48.88219178082192
25840,2021,36.31780821917808
25860,2021,41.358333333333334
25900,2021,20.92876712328767
26020,2021,45.06849315068493
26090,2021,40.714681440443215
26140,2021,35.04189944134078
26300,2021,35.391666666666666
26340,2021,10.333333333333334
26380,2021,39.20916905444126
26420,2021,61.40547945205479
26580,2021,41.95068493150685
26620,2021,41.10644257703081
26820,2021,47.942465753424656
26860,2021,40.36494252873563
26900,2021,55.14794520547945
26980,2021,41.26648351648352
27060,2021,37.11944444444445
27140,2021,44.1945205479452
27180,2021,31.758426966292134
27220,2021,48.35890410958904
27260,2021,44.728767123287675
27460,2021,39.21883656509695
27500,2021,43.53170731707317
27540,2021,35.664
27620,2021,38.46938775510204
27780,2021,43.6628895184136
27900,2021,36.55833333333333
27940,2021,19.428571428571427
27980,2021,16.04432132963989
28020,2021,44.69054441260745
28060,2021,42.37534246575343
28140,2021,52.76986301369863
28180,2021,12.934065934065934
28300,2021,37.0989010989011
28420,2021,36.205479452054796
28660,2021,45.66575342465753
28700,2021,37.93424657534246
28780,2021,38.474137931034484
28820,2021,31.486928104575163
28900,2021,56.8986301369863
28940,2021,48.99452054794521
29020,2021,41.905817174515235
